ID,Attrition,AgeCat,Age,Educ_Field,Education,EducationField,BusinessTravel,JobLevel,JobRole,Department,StockOptionLevel,OverTime,PerformanceRating,MonthlyIncome,PercentSalaryHike,MonthlyRate,DailyRate,HourlyRate,DistanceFromHome,EESatisfaction,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,RelationshipSatisfaction,WorkLifeBalance,TrainingTimesLastYear,Gender,MaritalStatus,OtherCoExp,NumCompaniesWorked,PriorExpYrs,TotalWorkingYears,ServiceCat,YearsAtCompany,PromoLast3,YearsSinceLastPromotion,YearsInCurrentRole,YearsWithCurrManager,Over18,StandardHours,EmployeeCount,EmployeeNumber,Rand
1,No,30-35,32,4_Life Sciences,4,Life Sciences,Rarely,2,Sales Executive,Sales,1,0,3,4403,11,9250,117,73,13,2.8,2,3,4,3,2,3,Male,Divorced,1,2,3,8,5-8,5,0,0,2,3,Y,80,1,859,-3.019377348
2,No,40-45,40,3_Medical,3,Medical,Rarely,5,Research Director,Research & Development,0,0,3,19626,14,17544,1308,44,14,2.6,3,2,3,1,4,2,Male,Single,1,1,1,21,10+,20,0,4,7,9,Y,80,1,1128,-2.631626478
3,No,35-40,35,2_Life Sciences,2,Life Sciences,Frequently,3,Manufacturing Director,Research & Development,0,0,3,9362,11,19944,200,60,18,3.2,3,3,4,3,3,2,Male,Single,1,2,8,10,1-3,2,1,2,2,2,Y,80,1,1412,-2.586027209
4,No,30-35,32,4_Marketing,4,Marketing,Rarely,3,Sales Executive,Sales,2,0,3,10422,19,24032,801,48,1,3.2,3,3,4,3,3,3,Female,Married,0,1,0,14,10+,14,0,5,10,7,Y,80,1,2016,-2.585976815
5,No,<25,24,1_Technical Degree,1,Technical Degree,Frequently,1,Research Scientist,Research & Development,0,1,3,3760,13,17218,567,32,2,2.8,1,3,4,3,3,2,Female,Single,0,1,0,6,5-8,6,1,1,3,3,Y,80,1,1646,-2.568151919
6,No,25-30,27,2_Life Sciences,2,Life Sciences,Frequently,3,Manufacturing Director,Research & Development,2,0,4,8793,21,4809,294,32,10,2.6,4,3,1,3,2,4,Male,Divorced,0,1,0,9,8-10,9,1,1,7,7,Y,80,1,733,-2.55337167
7,No,40-45,41,5_Medical,5,Medical,Rarely,1,Research Scientist,Research & Development,0,1,3,2127,12,5561,1283,90,5,2.4,2,4,3,1,2,5,Male,Married,1,2,3,7,3-5,4,0,0,2,3,Y,80,1,1448,-2.508152905
8,No,35-40,37,4_Life Sciences,4,Life Sciences,Rarely,2,Sales Executive,Sales,3,1,3,6694,14,24223,309,88,10,3.2,4,2,4,3,3,5,Female,Divorced,1,2,7,8,1-3,1,0,0,0,0,Y,80,1,1105,-2.507324652
9,No,30-35,34,4_Life Sciences,4,Life Sciences,Rarely,1,Sales Representative,Sales,1,1,3,2220,19,18410,1333,87,10,3.2,3,3,3,4,3,2,Female,Married,0,1,0,1,1-3,1,0,0,1,0,Y,80,1,1055,-2.454481576
10,No,30-35,34,4_Technical Degree,4,Technical Degree,Frequently,2,Healthcare Representative,Research & Development,1,0,3,5063,14,15332,653,92,10,2.6,4,2,3,2,2,3,Male,Married,0,1,0,8,8-10,8,0,7,2,7,Y,80,1,1597,-2.441876356
11,No,40-45,43,3_Medical,3,Medical,Rarely,5,Manager,Research & Development,0,0,3,19392,13,22539,823,81,6,2.6,1,2,3,4,3,2,Female,Married,1,7,5,21,10+,16,0,6,12,14,Y,80,1,1866,-2.420294992
12,No,25-30,28,2_Life Sciences,2,Life Sciences,0ne,1,Human Resources,Human Resources,1,0,3,2706,15,10494,280,43,1,3,3,3,4,2,3,2,Male,Divorced,0,1,0,3,3-5,3,1,2,2,2,Y,80,1,1858,-2.41103763
13,No,35-40,35,3_Other,3,Other,Rarely,3,Manufacturing Director,Research & Development,0,0,4,10221,21,18869,950,59,7,3,3,3,3,2,4,3,Male,Single,1,3,9,17,8-10,8,1,1,5,6,Y,80,1,845,-2.364431165
14,No,30-35,30,1_Technical Degree,1,Technical Degree,Rarely,1,Sales Representative,Sales,1,0,3,2476,18,17434,202,72,2,2.4,3,3,2,1,3,3,Male,Married,0,1,0,1,1-3,1,0,0,0,0,Y,80,1,508,-2.363955797
15,No,45-50,46,2_Life Sciences,2,Life Sciences,Rarely,1,Human Resources,Human Resources,0,0,3,3423,12,22957,991,44,1,3,4,3,1,3,4,3,Female,Single,1,6,3,10,5-8,7,0,5,6,7,Y,80,1,1314,-2.361608814
16,No,30-35,31,2_Marketing,2,Marketing,0ne,2,Sales Executive,Sales,1,0,3,6932,13,24406,1188,45,20,3.2,4,3,3,4,2,2,Female,Married,0,1,0,9,8-10,9,0,0,8,0,Y,80,1,947,-2.241181247
17,No,30-35,32,4_Medical,4,Medical,Rarely,2,Manufacturing Director,Research & Development,1,0,3,6725,12,13554,498,93,3,2.8,3,3,1,3,4,2,Female,Married,0,1,0,8,8-10,8,0,6,7,3,Y,80,1,966,-2.189674528
18,No,45-50,46,4_Medical,4,Medical,0ne,2,Manufacturing Director,Research & Development,0,0,3,5258,14,16044,1144,30,7,3.2,3,3,3,3,4,2,Female,Married,1,2,6,7,1-3,1,0,0,0,0,Y,80,1,487,-2.174203364
19,No,30-35,34,4_Medical,4,Medical,Rarely,1,Research Scientist,Research & Development,3,1,3,2932,14,5586,181,97,2,3.2,4,4,4,1,3,3,Male,Married,1,0,1,6,5-8,5,1,1,0,2,Y,80,1,1755,-2.13423181
20,No,40-45,44,4_Life Sciences,4,Life Sciences,Rarely,2,Healthcare Representative,Research & Development,1,0,3,5033,15,9364,170,78,1,2.8,2,4,1,4,3,5,Male,Married,1,2,8,10,1-3,2,1,2,0,2,Y,80,1,1903,-2.12517426
21,No,35-40,36,2_Medical,2,Medical,Rarely,2,Manufacturing Director,Research & Development,1,1,3,8847,11,13934,913,48,9,2.4,2,2,2,3,3,2,Male,Divorced,1,2,10,13,3-5,3,0,0,2,2,Y,80,1,699,-2.097303336
22,No,45-50,48,1_Marketing,1,Marketing,Rarely,2,Sales Executive,Sales,0,0,3,8120,12,18597,817,56,2,3,2,4,2,4,3,3,Male,Married,1,3,10,12,1-3,2,1,2,2,2,Y,80,1,712,-2.097030028
23,No,40-45,43,5_Medical,5,Medical,Frequently,2,Laboratory Technician,Research & Development,1,1,3,5679,13,19627,1001,72,9,3,4,3,3,2,3,3,Male,Divorced,1,3,2,10,8-10,8,0,4,7,7,Y,80,1,663,-2.091260768
24,No,30-35,31,4_Other,4,Other,Frequently,2,Sales Executive,Sales,0,0,3,5332,13,21602,715,54,2,3,4,3,1,4,3,3,Male,Single,1,7,5,10,5-8,5,0,0,2,3,Y,80,1,1613,-2.087868714
25,No,30-35,33,3_Life Sciences,3,Life Sciences,Rarely,2,Healthcare Representative,Research & Development,0,0,3,6949,14,12291,1069,42,1,2.4,2,2,4,1,3,3,Female,Single,1,0,1,6,5-8,5,1,1,0,4,Y,80,1,969,-2.075322067
26,No,40-45,44,3_Marketing,3,Marketing,Rarely,5,Manager,Sales,1,0,3,18213,11,8751,1099,88,5,2.6,2,3,2,3,3,5,Male,Married,1,7,4,26,10+,22,1,3,9,10,Y,80,1,1267,-2.062244288
27,No,35-40,38,3_Life Sciences,3,Life Sciences,Rarely,2,Sales Executive,Sales,1,0,3,9924,11,12355,1245,80,14,3,3,3,2,4,3,3,Male,Married,1,0,1,10,8-10,9,0,7,8,7,Y,80,1,1582,-2.055471959
28,Yes,30-35,33,4_Marketing,4,Marketing,Rarely,2,Sales Executive,Sales,0,1,3,8224,17,18385,603,77,9,1.8,1,3,1,1,3,3,Female,Single,1,0,1,6,5-8,5,0,0,2,3,Y,80,1,1157,-2.017971307
29,Yes,50+,53,4_Life Sciences,4,Life Sciences,Rarely,3,Sales Executive,Sales,0,1,3,10448,13,5843,1168,66,24,1.8,1,3,1,2,2,2,Male,Single,1,6,13,15,1-3,2,1,2,2,2,Y,80,1,1968,-2.001524288
30,No,50+,52,4_Medical,4,Medical,0ne,1,Research Scientist,Research & Development,1,0,3,4258,18,26589,715,41,19,3,4,3,4,1,3,3,Male,Married,1,0,1,5,3-5,4,1,1,3,2,Y,80,1,791,-1.995497897
31,No,30-35,32,2_Medical,2,Medical,Frequently,2,Sales Executive,Sales,3,0,3,4668,17,22812,689,35,9,3.4,4,1,4,4,4,2,Male,Divorced,1,0,1,9,8-10,8,0,0,7,7,Y,80,1,195,-1.971038671
32,No,30-35,33,3_Medical,3,Medical,Rarely,1,Laboratory Technician,Research & Development,3,0,3,2028,18,13637,267,79,21,3,2,4,2,4,3,6,Male,Married,0,1,0,14,10+,14,1,2,11,13,Y,80,1,1698,-1.934434414
33,No,45-50,46,3_Technical Degree,3,Technical Degree,Rarely,4,Manager,Sales,1,1,3,16872,12,14977,488,75,2,2,3,1,2,2,2,2,Female,Married,1,3,21,28,5-8,7,0,7,7,7,Y,80,1,363,-1.919566068
34,No,35-40,35,4_Medical,4,Medical,Rarely,1,Laboratory Technician,Research & Development,1,0,3,2258,12,16340,982,58,1,2.8,4,2,3,2,3,2,Male,Married,1,6,2,10,8-10,8,1,1,0,7,Y,80,1,1172,-1.914379326
35,No,30-35,32,4_Life Sciences,4,Life Sciences,Rarely,2,Manufacturing Director,Research & Development,0,0,4,9679,24,10138,1373,56,5,3,4,2,4,2,3,1,Male,Single,1,8,7,8,1-3,1,0,0,0,0,Y,80,1,1966,-1.913362377
36,No,30-35,32,3_Life Sciences,3,Life Sciences,Frequently,1,Laboratory Technician,Research & Development,0,0,4,2794,20,26062,1311,100,7,2.4,2,4,2,3,1,3,Male,Married,0,1,0,5,5-8,5,0,0,1,3,Y,80,1,359,-1.903913148
37,Yes,35-40,35,3_Medical,3,Medical,Rarely,3,Sales Executive,Sales,0,0,3,10306,17,21530,737,55,10,2.6,4,2,1,3,3,3,Male,Married,1,9,2,15,10+,13,0,6,12,0,Y,80,1,1639,-1.890277795
38,Yes,35-40,36,5_Marketing,5,Marketing,Rarely,2,Sales Executive,Sales,3,1,3,6134,13,8658,1456,96,13,2,2,2,1,2,3,3,Male,Divorced,1,5,14,16,1-3,2,1,2,2,2,Y,80,1,1733,-1.881286711
39,No,50+,56,4_Life Sciences,4,Life Sciences,Rarely,5,Manager,Human Resources,0,0,3,19717,14,4022,206,99,8,2.6,4,3,2,1,3,4,Male,Single,1,6,29,36,5-8,7,0,7,3,7,Y,80,1,1338,-1.843621057
40,No,30-35,31,3_Life Sciences,3,Life Sciences,Frequently,1,Sales Representative,Sales,1,0,3,2791,12,21981,793,67,20,3,3,4,4,1,3,4,Male,Married,1,0,1,3,1-3,2,1,2,2,2,Y,80,1,1135,-1.823503943
41,No,50+,58,3_Medical,3,Medical,0ne,4,Manager,Sales,1,0,4,16291,22,22577,350,52,2,2.6,2,3,2,4,2,0,Male,Divorced,1,4,21,37,10+,16,0,14,9,14,Y,80,1,1824,-1.821104287
42,No,45-50,45,2_Technical Degree,2,Technical Degree,Rarely,2,Sales Representative,Sales,0,0,3,6632,13,12388,954,46,2,2,2,1,3,1,3,3,Male,Single,1,0,1,9,8-10,8,1,3,7,1,Y,80,1,783,-1.820511338
43,No,45-50,49,3_Medical,3,Medical,Rarely,1,Laboratory Technician,Research & Development,1,1,3,2587,16,24941,464,74,16,2.4,4,3,1,2,2,2,Female,Divorced,1,4,15,17,1-3,2,1,2,2,2,Y,80,1,1674,-1.805346673
44,No,40-45,42,2_Other,2,Other,Rarely,5,Manager,Research & Development,0,0,4,19613,22,26362,1059,93,9,3.4,4,2,4,4,3,2,Male,Single,1,8,23,24,1-3,1,0,0,0,1,Y,80,1,1595,-1.800204434
45,No,<25,23,2_Life Sciences,2,Life Sciences,Rarely,1,Research Scientist,Research & Development,1,0,4,1223,22,16901,373,47,1,3.4,4,3,3,4,3,2,Male,Married,0,1,0,1,1-3,1,0,0,0,1,Y,80,1,1270,-1.792574196
46,No,40-45,42,2_Medical,2,Medical,Frequently,1,Laboratory Technician,Research & Development,0,0,3,3673,13,16458,748,74,9,2.8,1,3,4,3,3,3,Female,Single,0,1,0,12,10+,12,0,5,9,8,Y,80,1,1480,-1.789224615
47,Yes,30-35,32,2_Life Sciences,2,Life Sciences,Rarely,2,Sales Executive,Sales,0,0,3,6735,15,12147,964,34,1,1.8,1,1,2,2,3,2,Male,Single,1,6,10,10,0-1,0,0,0,0,0,Y,80,1,1734,-1.773820423
